face_present,face_count,yaw,pitch,roll,left_EAR,right_EAR,gaze_direction,mouth_ratio,face_area,label
1,1,8.97,30.0,4.25,0.242,0.273,3,0.003,0.059,Normal
1,1,8.55,30.0,3.55,0.239,0.293,3,0.004,0.057,Normal
1,1,8.3,30.0,3.1,0.254,0.305,3,0.001,0.055,Normal
1,1,7.72,30.0,2.52,0.25,0.302,3,0.003,0.057,Normal
1,1,7.28,30.0,2.27,0.257,0.306,3,0.001,0.057,Normal
1,1,7.19,30.0,2.41,0.251,0.294,3,0.002,0.059,Normal
1,1,6.07,30.0,2.15,0.26,0.275,3,0.003,0.06,Normal
1,1,5.47,30.0,1.75,0.256,0.282,3,0.004,0.058,Normal
1,1,5.69,30.0,1.45,0.265,0.288,3,0.004,0.058,Normal
1,1,5.43,30.0,1.44,0.273,0.294,3,0.003,0.057,Normal
1,1,5.31,30.0,1.52,0.277,0.272,3,0.004,0.059,Normal
1,1,5.42,30.0,1.29,0.262,0.274,3,0.005,0.061,Normal
1,1,5.07,30.0,0.98,0.274,0.285,3,0.004,0.06,Normal
1,1,5.47,30.0,1.44,0.246,0.257,3,0.004,0.057,Normal
1,1,4.98,30.0,1.51,0.257,0.262,3,0.004,0.06,Normal
1,1,5.38,30.0,1.06,0.258,0.258,3,0.002,0.06,Normal
1,1,5.22,30.0,1.17,0.249,0.275,3,0.004,0.061,Normal
1,1,4.88,30.0,0.62,0.26,0.272,3,0.004,0.059,Normal
1,1,4.87,30.0,0.65,0.248,0.263,3,0.002,0.062,Normal
1,1,4.59,30.0,0.16,0.263,0.264,3,0.004,0.059,Normal
1,1,4.49,30.0,0.13,0.253,0.267,3,0.005,0.057,Normal
1,1,4.66,30.0,0.04,0.264,0.271,3,0.005,0.059,Normal
1,1,4.71,30.0,0.05,0.26,0.282,3,0.004,0.058,Normal
1,1,4.56,30.0,0.22,0.253,0.274,3,0.004,0.056,Normal
1,1,4.4,30.0,0.06,0.251,0.27,3,0.003,0.058,Normal
1,1,4.56,30.0,0.41,0.264,0.273,3,0.004,0.062,Normal
1,1,4.64,30.0,0.77,0.261,0.269,3,0.006,0.06,Normal
1,1,4.82,30.0,0.55,0.25,0.27,3,0.004,0.061,Normal
1,1,5.0,30.0,0.38,0.265,0.263,3,0.005,0.061,Normal
1,1,4.93,30.0,0.35,0.262,0.27,3,0.004,0.061,Normal
1,1,4.51,30.0,-0.03,0.279,0.264,3,0.003,0.06,Normal
1,1,4.17,30.0,0.28,0.272,0.269,3,0.004,0.062,Normal
1,1,4.18,30.0,0.08,0.265,0.271,3,0.004,0.062,Normal
1,1,4.49,30.0,0.18,0.259,0.265,3,0.004,0.059,Normal
1,1,4.58,30.0,0.42,0.265,0.282,3,0.005,0.06,Normal
1,1,4.59,30.0,0.27,0.263,0.277,3,0.004,0.06,Normal
1,1,4.31,30.0,0.1,0.263,0.263,3,0.004,0.06,Normal
1,1,4.17,30.0,-0.04,0.263,0.279,3,0.004,0.06,Normal
1,1,1.77,30.0,-0.52,0.276,0.267,3,0.001,0.064,Normal
1,1,0.05,30.0,-1.33,0.246,0.264,3,0.005,0.065,Normal
1,1,-7.82,30.0,-3.93,0.31,0.304,3,0.003,0.056,Normal
1,1,-5.81,30.0,-3.62,0.256,0.243,3,0.001,0.059,Normal
1,1,5.52,30.0,2.02,0.271,0.293,3,0.001,0.067,Normal
1,1,4.94,30.0,1.8,0.267,0.275,3,0.004,0.063,Normal
1,1,4.37,30.0,1.39,0.265,0.277,3,0.003,0.063,Normal
1,1,3.91,30.0,1.18,0.264,0.267,3,0.004,0.061,Normal
1,1,3.9,30.0,1.04,0.273,0.265,3,0.004,0.061,Normal
1,1,4.37,30.0,1.52,0.111,0.094,3,0.002,0.06,Normal
1,1,4.18,30.0,1.09,0.277,0.274,3,0.002,0.06,Normal
1,1,3.0,30.0,1.1,0.248,0.301,3,0.003,0.06,Normal
1,1,1.71,30.0,0.75,0.269,0.286,3,0.004,0.061,Normal
1,1,0.19,30.0,0.84,0.266,0.252,3,0.001,0.061,Normal
1,1,6.66,30.0,1.37,0.277,0.276,3,0.004,0.065,Normal
1,1,7.51,30.0,2.69,0.284,0.3,3,0.005,0.067,Normal
1,1,6.92,30.0,3.44,0.28,0.27,3,0.005,0.064,Normal
1,1,7.24,30.0,3.57,0.288,0.279,3,0.002,0.069,Normal
1,1,6.63,30.0,2.96,0.278,0.308,3,0.004,0.071,Normal
